round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
3,max-cover,3,10.0,0.6666666666666667,0.6333333333333333,0.9199311135190452,0.6,14.0
3,budget,3,10.0,0.9333333333333332,0.9333333333333332,1.043021182805672,0.8666666666666666,14.0
4,max-cover,3,10.0,0.7333333333333334,0.7333333333333334,1.7754322588711418,0.7333333333333333,16.0
4,budget,3,10.0,1.0,1.0,1.904024182536844,0.7666666666666667,16.0
5,max-cover,3,10.0,0.8,0.7333333333333334,1.519098029332141,0.7,15.0
5,budget,3,10.0,0.9666666666666668,0.9,1.6775752532639323,0.7666666666666667,15.0
3,max-cover,2,20.0,0.55,0.5,2.687069901813812,0.375,32.0
3,budget,2,20.0,0.925,0.825,2.943016826706572,0.45,32.0
6,max-cover,3,10.0,0.7333333333333334,0.6666666666666667,1.1059041868804202,0.6000000000000001,13.0
6,budget,3,10.0,0.9666666666666668,0.9666666666666668,1.2048890576079858,0.9,13.0
4,max-cover,2,20.0,0.675,0.6,2.051272758821266,0.25,34.0
4,budget,2,20.0,1.0,1.0,2.632622385964664,0.3,34.0
7,max-cover,3,10.0,0.6,0.6,1.500294392694066,0.5666666666666667,15.0
7,budget,3,10.0,0.9666666666666668,0.9666666666666668,1.7882984038229477,0.8,15.0
5,max-cover,2,20.0,0.1999999999999999,0.15,1.5792688079258488,0.15,33.0
5,budget,2,20.0,0.975,0.975,2.680332651192937,0.35,33.0
8,max-cover,3,10.0,0.8666666666666667,0.8,1.357262931013809,0.7,13.0
8,budget,3,10.0,1.0,1.0,1.4383656633515214,0.8666666666666668,13.0
6,max-cover,2,20.0,0.475,0.25,2.5241122982065622,0.25,34.0
6,budget,2,20.0,0.9,0.825,3.451763150191355,0.35,34.0
9,max-cover,3,10.0,0.8666666666666667,0.8666666666666667,1.035016413858485,0.8333333333333334,13.0
9,budget,3,10.0,0.9333333333333332,0.9333333333333332,1.029745394246146,0.8666666666666668,13.0
0,max-cover,4,10.0,0.9,0.9,1.2057556011762869,0.85,11.0
0,budget,4,10.0,1.0,1.0,1.204379536099409,0.975,11.0
7,max-cover,2,20.0,0.625,0.3249999999999999,2.628451188976393,0.275,35.0
7,budget,2,20.0,0.9,0.675,3.047019529591381,0.325,35.0
8,max-cover,2,20.0,0.625,0.4499999999999999,1.822186554768194,0.35,33.0
8,budget,2,20.0,0.8,0.75,2.300310549427833,0.375,33.0
1,max-cover,4,10.0,0.875,0.875,0.5541369775357482,0.875,13.0
1,budget,4,10.0,0.975,0.975,0.5836125088929318,0.925,13.0
2,max-cover,4,10.0,0.875,0.875,1.3483634854240591,0.825,10.0
2,budget,4,10.0,1.0,1.0,1.4380240653770304,1.0,10.0
9,max-cover,2,20.0,0.575,0.3249999999999999,3.149740921705927,0.275,36.0
9,budget,2,20.0,0.65,0.4499999999999999,3.297552424278085,0.3,36.0
3,max-cover,4,10.0,0.925,0.925,1.7963002649626485,0.9,12.0
3,budget,4,10.0,0.975,0.975,1.8906298451175192,0.95,12.0
0,max-cover,3,20.0,0.7333333333333334,0.5166666666666666,1.9462587475064124,0.3833333333333333,42.0
0,budget,3,20.0,0.95,0.9166666666666666,2.185414430759459,0.5,42.0
4,max-cover,4,10.0,0.85,0.85,1.028999133624918,0.85,10.0
4,budget,4,10.0,1.0,1.0,1.0784522745386411,1.0,10.0
1,max-cover,3,20.0,0.7666666666666666,0.4499999999999999,2.171695761870009,0.3,49.0
1,budget,3,20.0,0.9,0.8333333333333334,3.1840281880253394,0.35,49.0
5,max-cover,4,10.0,0.85,0.825,1.2806330053375388,0.8,11.0
5,budget,4,10.0,1.0,1.0,1.4045884658773862,0.975,11.0
2,max-cover,3,20.0,0.6333333333333333,0.5666666666666667,2.20040281089531,0.3833333333333333,43.0
2,budget,3,20.0,0.95,0.95,2.57763234345618,0.5000000000000001,43.0
6,max-cover,4,10.0,0.875,0.875,1.7163156411385958,0.75,15.0
6,budget,4,10.0,1.0,1.0,1.7535323123804178,0.875,15.0
3,max-cover,3,20.0,0.6,0.5833333333333333,1.996161438426032,0.4,40.0
3,budget,3,20.0,0.8666666666666667,0.8333333333333334,2.056542446493744,0.5333333333333332,40.0
7,max-cover,4,10.0,0.7,0.7,1.444482036870724,0.675,10.0
7,budget,4,10.0,1.0,1.0,1.3546310115168172,1.0,10.0
4,max-cover,3,20.0,0.65,0.4833333333333333,2.545689397111837,0.4,42.0
4,budget,3,20.0,0.8166666666666667,0.7333333333333334,2.951562804420057,0.4833333333333334,42.0
8,max-cover,4,10.0,0.85,0.825,1.2001521329416125,0.825,11.0
8,budget,4,10.0,1.0,1.0,1.1700637113431216,0.975,11.0
5,max-cover,3,20.0,0.6666666666666667,0.5666666666666667,2.0822322385546137,0.45,40.0
