round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
9,budget,3,10,0.9,0.9,1.4093214642288416,0.7333333333333334,16
9,max-cover,3,10,0.4666666666666667,0.4666666666666667,1.3629802653202658,0.4333333333333334,22
9,heuristic,3,10,0.8333333333333334,0.8333333333333334,1.4093214642288416,0.7666666666666668,0
0,budget,4,10,1.0,1.0,0.3774972628065047,1.0,10
0,max-cover,4,10,0.725,0.725,0.3759609583921924,0.675,20
0,heuristic,4,10,0.95,0.95,0.3774972628065047,0.9,0
1,budget,4,10,1.0,1.0,0.0387491403496493,0.975,11
1,max-cover,4,10,0.4,0.4,0.0387491403496493,0.4,28
1,heuristic,4,10,0.825,0.825,0.0387491403496493,0.725,0
2,budget,4,10,1.0,1.0,0.6224207855407585,1.0,10
2,max-cover,4,10,0.75,0.75,0.657232940643368,0.675,21
2,heuristic,4,10,0.925,0.925,0.6224207855407585,0.875,0
3,budget,4,10,1.0,1.0,0.9097550779871058,0.925,13
3,max-cover,4,10,0.65,0.65,0.9097550779871058,0.6,22
3,heuristic,4,10,0.85,0.85,0.9097550779871058,0.75,0
4,budget,4,10,1.0,1.0,0.6119818821375831,1.0,10
4,max-cover,4,10,0.575,0.575,0.584864578959175,0.55,24
4,heuristic,4,10,0.85,0.85,0.6119818821375831,0.8,0
5,budget,4,10,1.0,1.0,0.5012623612404873,0.95,12
5,max-cover,4,10,0.525,0.525,0.5070529841611572,0.425,28
5,heuristic,4,10,0.875,0.875,0.5012623612404873,0.775,0
6,budget,4,10,1.0,1.0,0.8794079104978743,0.95,12
6,max-cover,4,10,0.5,0.5,0.8764205556687352,0.5,25
6,heuristic,4,10,0.9,0.9,0.8794079104978743,0.8,0
7,budget,4,10,1.0,1.0,0.7165783862511287,1.0,10
7,max-cover,4,10,0.7,0.7,0.7128383205513268,0.65,21
7,heuristic,4,10,0.9,0.9,0.7295959504241539,0.8,0
8,budget,4,10,1.0,1.0,0.764626083257494,1.0,10
8,max-cover,4,10,0.3,0.3,0.7636351295075161,0.3,31
8,heuristic,4,10,0.75,0.675,0.7689992741141826,0.65,0
9,budget,4,10,0.975,0.975,0.7223196892966722,0.975,11
9,max-cover,4,10,0.55,0.55,0.7713491183501919,0.475,26
9,heuristic,4,10,0.95,0.95,0.7223196892966722,0.95,0
0,budget,5,10,1.0,1.0,0.603304347187479,1.0,10
0,max-cover,5,10,0.64,0.64,0.5978015673246551,0.64,25
0,heuristic,5,10,0.84,0.84,0.603304347187479,0.78,0
1,budget,5,10,1.0,1.0,0.6202473446396828,0.98,11
1,max-cover,5,10,0.6799999999999999,0.6799999999999999,0.6202473446396828,0.6,26
1,heuristic,5,10,0.86,0.86,0.6202473446396828,0.8,0
2,budget,5,10,1.0,1.0,0.4290509883703972,0.98,11
2,max-cover,5,10,0.62,0.62,0.4159863493724879,0.5599999999999999,28
2,heuristic,5,10,0.78,0.78,0.4290509883703972,0.7,0
3,budget,5,10,0.98,0.98,0.2598022483314698,0.92,14
3,max-cover,5,10,0.64,0.64,0.2594376945668663,0.5599999999999999,28
3,heuristic,5,10,0.88,0.88,0.2598022483314698,0.76,0
4,budget,5,10,0.98,0.98,0.657422943175126,0.98,11
4,max-cover,5,10,0.64,0.64,0.6599652960678396,0.5599999999999999,28
4,heuristic,5,10,0.86,0.86,0.6599652960678396,0.78,0
5,budget,5,10,1.0,1.0,0.0842746697864229,1.0,10
5,max-cover,5,10,0.3,0.3,0.0842746697864229,0.3,38
5,heuristic,5,10,0.86,0.86,0.0842746697864229,0.8,0
6,budget,5,10,1.0,1.0,0.2152039693073149,1.0,10
6,max-cover,5,10,0.6,0.6,0.2152039693073149,0.6,26
6,heuristic,5,10,0.9,0.9,0.2152039693073149,0.86,0
7,budget,5,10,1.0,1.0,0.4890553667210672,0.98,11
7,max-cover,5,10,0.8,0.8,0.5511708696359882,0.76,20
7,heuristic,5,10,0.96,0.96,0.4890553667210672,0.9399999999999998,0
8,budget,5,10,1.0,1.0,0.5497996534341079,1.0,10
8,max-cover,5,10,0.4,0.4,0.5497996534341079,0.4,34
8,heuristic,5,10,0.84,0.84,0.5497996534341079,0.78,0
9,budget,5,10,1.0,1.0,0.3274403319985071,1.0,10
9,max-cover,5,10,0.48,0.48,0.3185330310821322,0.48,31
9,heuristic,5,10,0.96,0.96,0.3274403319985071,0.9600000000000002,0
0,budget,6,10,0.9833333333333332,0.9833333333333332,0.6243458628664519,0.9666666666666668,12
0,max-cover,6,10,0.7333333333333334,0.7333333333333334,0.6177310879312206,0.7333333333333334,24
0,heuristic,6,10,0.9666666666666668,0.9666666666666668,0.6243458628664519,0.95,0
1,budget,6,10,1.0,1.0,0.7018803961063923,0.95,13
1,max-cover,6,10,0.5666666666666667,0.5666666666666667,0.7034537638949999,0.5666666666666667,32
1,heuristic,6,10,0.9166666666666666,0.9166666666666666,0.7018803961063923,0.8333333333333334,0
2,budget,6,10,1.0,1.0,0.3479621325008317,0.9833333333333334,11
2,max-cover,6,10,0.75,0.75,0.3272160112945004,0.7500000000000001,23
2,heuristic,6,10,0.9666666666666668,0.9666666666666668,0.3479621325008317,0.95,0
3,budget,6,10,1.0,1.0,0.2618432976255982,0.9833333333333334,11
3,max-cover,6,10,0.5,0.5,0.2604951554365887,0.5,35
3,heuristic,6,10,0.9333333333333332,0.9333333333333332,0.2618432976255982,0.9,0
4,budget,6,10,1.0,1.0,0.0894874149385574,0.9833333333333332,11
4,max-cover,6,10,0.5,0.5,0.0894874149385574,0.5,35
4,heuristic,6,10,0.85,0.85,0.0894874149385574,0.8499999999999999,0
5,budget,6,10,1.0,1.0,0.1106723093311152,1.0,10
5,max-cover,6,10,0.4,0.4,0.1106723093311152,0.4,40
5,heuristic,6,10,0.75,0.75,0.1106723093311152,0.6833333333333333,0
6,budget,6,10,1.0,1.0,0.3318048876012479,1.0,10
6,max-cover,6,10,0.6166666666666667,0.6166666666666667,0.3318048876012479,0.6,30
6,heuristic,6,10,0.9666666666666668,0.9666666666666668,0.3318048876012479,0.9666666666666666,0
7,budget,6,10,1.0,1.0,0.2955424051674217,0.9833333333333332,11
7,max-cover,6,10,0.7833333333333333,0.7833333333333333,0.2956344672727295,0.7333333333333333,24
7,heuristic,6,10,0.9666666666666668,0.9666666666666668,0.2955424051674217,0.95,0
8,budget,6,10,1.0,1.0,0.4276835347269489,0.9666666666666668,12
8,max-cover,6,10,0.6833333333333333,0.6833333333333333,0.4276835347269489,0.6,30
8,heuristic,6,10,0.9166666666666666,0.9166666666666666,0.4276835347269489,0.8666666666666668,0
9,budget,6,10,1.0,1.0,0.2437940179931471,0.9333333333333332,14
9,max-cover,6,10,0.4666666666666667,0.4666666666666667,0.2437940179931471,0.4,40
9,heuristic,6,10,0.85,0.85,0.2437940179931471,0.7500000000000001,0
0,budget,7,10,1.0,1.0,0.0950898296075108,1.0,10
0,max-cover,7,10,0.6142857142857143,0.6142857142857143,0.0950898296075108,0.6,34
0,heuristic,7,10,0.9,0.9,0.0950898296075108,0.8714285714285713,0
1,budget,7,10,1.0,1.0,0.3668304796096114,0.9857142857142858,11
1,max-cover,7,10,0.5714285714285714,0.5714285714285714,0.3668304796096114,0.4857142857142857,41
1,heuristic,7,10,0.9714285714285714,0.9714285714285714,0.3668304796096114,0.9571428571428572,0
2,budget,7,10,1.0,1.0,0.1312985432432431,0.9857142857142858,11
2,max-cover,7,10,0.8,0.8,0.1297498853450638,0.7857142857142858,23
2,heuristic,7,10,0.9571428571428572,0.9571428571428572,0.1312985432432431,0.9571428571428572,0
3,budget,7,10,1.0,1.0,0.246633079913734,1.0,10
3,max-cover,7,10,0.4,0.4,0.246633079913734,0.4,46
3,heuristic,7,10,0.8714285714285714,0.8714285714285714,0.246633079913734,0.8285714285714286,0
4,budget,7,10,1.0,1.0,0.1253362217215757,1.0,10
4,max-cover,7,10,0.4,0.4,0.1253362217215757,0.4,46
4,heuristic,7,10,0.9142857142857144,0.9142857142857144,0.1253362217215757,0.9,0
5,budget,7,10,1.0,1.0,0.2917263134513822,0.9857142857142858,11
5,max-cover,7,10,0.6,0.6,0.3025088436043623,0.5714285714285714,36
5,heuristic,7,10,0.9571428571428572,0.9571428571428572,0.2917263134513822,0.9428571428571428,0
6,budget,7,10,1.0,1.0,0.2595767494905436,1.0,10
6,max-cover,7,10,0.7285714285714286,0.7285714285714286,0.2595767494905436,0.7,28
6,heuristic,7,10,1.0,1.0,0.2595767494905436,1.0,0
7,budget,7,10,1.0,1.0,0.2741046338290818,0.9857142857142858,11
7,max-cover,7,10,0.5428571428571429,0.5428571428571429,0.2741046338290818,0.5,40
7,heuristic,7,10,0.9,0.9,0.2741046338290818,0.8857142857142856,0
8,budget,7,10,1.0,1.0,0.2171264898218186,0.9857142857142858,11
8,max-cover,7,10,0.4,0.4,0.2171264898218186,0.4,46
8,heuristic,7,10,0.8571428571428572,0.8571428571428572,0.2171264898218186,0.8428571428571429,0
9,budget,7,10,1.0,1.0,0.5114552044096067,0.9571428571428572,13
9,max-cover,7,10,0.8571428571428572,0.8571428571428572,0.5281553325005184,0.7857142857142858,23
9,heuristic,7,10,0.9285714285714286,0.9285714285714286,0.5114552044096067,0.8714285714285716,0
0,budget,8,10,1.0,1.0,0.2973448915775778,0.9875,11
0,max-cover,8,10,0.55,0.55,0.3108997366946793,0.4875,46
0,heuristic,8,10,0.95,0.95,0.2973448915775778,0.9,0
1,budget,8,10,1.0,1.0,0.127116196845139,0.9875,11
1,max-cover,8,10,0.5625,0.5625,0.1207189488881301,0.5625,41
1,heuristic,8,10,0.8,0.8,0.127116196845139,0.775,0
2,budget,8,10,1.0,1.0,0.1959104945149093,0.9875,11
2,max-cover,8,10,0.7,0.7,0.1959104945149093,0.7,31
2,heuristic,8,10,0.95,0.95,0.1959104945149093,0.9375,0
3,budget,8,10,1.0,1.0,0.1070868918481656,1.0,10
3,max-cover,8,10,0.7,0.7,0.129057992150395,0.6875,32
