epoch,dataset,worker,task,k,fairness-pairwise
0,dash,600,20,0,0.0
0,dash,600,20,1,0.3300833333333333
0,dash,600,20,2,0.6796666666666666
0,dash,600,20,3,0.7947500000000001
0,dash,600,20,4,0.9109166666666668
0,dash,600,20,5,0.9214166666666668
0,dash,600,20,6,0.7459166666666667
0,dash,600,20,7,0.68675
0,dash,600,20,8,0.7164166666666667
0,dash,600,20,9,0.81
0,dash,600,20,10,0.8600833333333333
0,dash,600,20,11,0.9465833333333332
0,dash,600,20,12,0.97375
0,dash,600,20,13,0.99075
0,dash,600,20,14,0.99075
0,dash,600,20,15,0.99075
0,dash,600,20,16,0.99075
0,dash,600,20,17,0.99075
0,dash,600,20,18,0.99075
0,dash,600,20,19,0.99075
0,dash,600,20,20,0.99075
0,dash,1200,20,0,0.0
0,dash,1200,20,1,0.3191666666666667
0,dash,1200,20,2,0.6712916666666666
0,dash,1200,20,3,0.834875
0,dash,1200,20,4,0.947
0,dash,1200,20,5,0.9364166666666668
0,dash,1200,20,6,0.9757916666666666
0,dash,1200,20,7,0.9680416666666668
0,dash,1200,20,8,0.8945833333333333
0,dash,1200,20,9,0.9597916666666668
0,dash,1200,20,10,0.9518333333333332
0,dash,1200,20,11,0.9680416666666668
0,dash,1200,20,12,0.8945833333333333
0,dash,1200,20,13,0.9597916666666668
0,dash,1200,20,14,0.9518333333333332
0,dash,1200,20,15,0.9680416666666668
0,dash,1200,20,16,0.8945833333333333
0,dash,1200,20,17,0.9597916666666668
0,dash,1200,20,18,0.9518333333333332
0,dash,1200,20,19,0.9680416666666668
0,dash,1200,20,20,0.8945833333333333
0,dash,600,40,0,0.0
0,dash,600,40,1,0.265375
0,dash,600,40,2,0.4425833333333333
0,dash,600,40,3,0.6018749999999999
0,dash,600,40,4,0.6170833333333333
0,dash,600,40,5,0.6087916666666666
0,dash,600,40,6,0.598625
0,dash,600,40,7,0.6059583333333334
0,dash,600,40,8,0.60875
0,dash,600,40,9,0.60875
0,dash,600,40,10,0.60875
0,dash,600,40,11,0.60875
0,dash,600,40,12,0.60875
0,dash,600,40,13,0.60875
0,dash,600,40,14,0.60875
0,dash,600,40,15,0.60875
0,dash,600,40,16,0.60875
0,dash,600,40,17,0.60875
0,dash,600,40,18,0.60875
0,dash,600,40,19,0.60875
0,dash,600,40,20,0.60875
0,dash,600,60,0,0.0
0,dash,600,60,1,0.2595555555555555
0,dash,600,60,2,0.3854166666666666
0,dash,600,60,3,0.4321944444444444
0,dash,600,60,4,0.4321944444444444
0,dash,600,60,5,0.4321944444444444
0,dash,600,60,6,0.4321944444444444
0,dash,600,60,7,0.4321944444444444
0,dash,600,60,8,0.4321944444444444
0,dash,600,60,9,0.4321944444444444
0,dash,600,60,10,0.4321944444444444
0,dash,600,60,11,0.4321944444444444
0,dash,600,60,12,0.4321944444444444
0,dash,600,60,13,0.4321944444444444
0,dash,600,60,14,0.4321944444444444
0,dash,600,60,15,0.4321944444444444
0,dash,600,60,16,0.4321944444444444
0,dash,600,60,17,0.4321944444444444
0,dash,600,60,18,0.4321944444444444
0,dash,600,60,19,0.4321944444444444
0,dash,600,60,20,0.4321944444444444
0,dash,1200,40,0,0.0
0,dash,1200,40,1,0.22575
0,dash,1200,40,2,0.5591875
0,dash,1200,40,3,0.7530416666666666
0,dash,1200,40,4,0.9059166666666668
0,dash,1200,40,5,0.9177708333333332
0,dash,1200,40,6,0.9339166666666668
0,dash,1200,40,7,0.9854166666666668
0,dash,1200,40,8,0.9841875
0,dash,1200,40,9,0.9896875
0,dash,1200,40,10,0.9896875
0,dash,1200,40,11,0.9896875
0,dash,1200,40,12,0.9896875
0,dash,1200,40,13,0.9896875
0,dash,1200,40,14,0.9896875
0,dash,1200,40,15,0.9896875
0,dash,1200,40,16,0.9896875
0,dash,1200,40,17,0.9896875
0,dash,1200,40,18,0.9896875
0,dash,1200,40,19,0.9896875
0,dash,1200,40,20,0.9896875
0,dash,600,80,0,0.0
0,dash,600,80,1,0.2794791666666666
0,dash,600,80,2,0.3919791666666666
0,dash,600,80,3,0.4005833333333333
0,dash,600,80,4,0.4005833333333333
0,dash,600,80,5,0.4005833333333333
0,dash,600,80,6,0.4005833333333333
0,dash,600,80,7,0.4005833333333333
0,dash,600,80,8,0.4005833333333333
0,dash,600,80,9,0.4005833333333333
0,dash,600,80,10,0.4005833333333333
0,dash,600,80,11,0.4005833333333333
0,dash,600,80,12,0.4005833333333333
0,dash,600,80,13,0.4005833333333333
0,dash,600,80,14,0.4005833333333333
0,dash,600,80,15,0.4005833333333333
0,dash,600,80,16,0.4005833333333333
0,dash,600,80,17,0.4005833333333333
0,dash,600,80,18,0.4005833333333333
0,dash,600,80,19,0.4005833333333333
0,dash,600,80,20,0.4005833333333333
0,dash,1200,60,0,0.0
0,dash,1200,60,1,0.2663055555555556
0,dash,1200,60,2,0.536888888888889
0,dash,1200,60,3,0.6858472222222223
0,dash,1200,60,4,0.7604722222222222
0,dash,1200,60,5,0.7767361111111111
0,dash,1200,60,6,0.7767361111111111
0,dash,1200,60,7,0.7767361111111111
0,dash,1200,60,8,0.7767361111111111
0,dash,1200,60,9,0.7767361111111111
0,dash,1200,60,10,0.7767361111111111
0,dash,1200,60,11,0.7767361111111111
0,dash,1200,60,12,0.7767361111111111
0,dash,1200,60,13,0.7767361111111111
0,dash,1200,60,14,0.7767361111111111
0,dash,1200,60,15,0.7767361111111111
0,dash,1200,60,16,0.7767361111111111
0,dash,1200,60,17,0.7767361111111111
0,dash,1200,60,18,0.7767361111111111
0,dash,1200,60,19,0.7767361111111111
0,dash,1200,60,20,0.7767361111111111
0,dash,600,100,0,0.0
0,dash,600,100,1,0.2707833333333334
0,dash,600,100,2,0.37505
0,dash,600,100,3,0.3808166666666667
0,dash,600,100,4,0.3808166666666667
0,dash,600,100,5,0.3808166666666667
0,dash,600,100,6,0.3808166666666667
0,dash,600,100,7,0.3808166666666667
0,dash,600,100,8,0.3808166666666667
0,dash,600,100,9,0.3808166666666667
0,dash,600,100,10,0.3808166666666667
0,dash,600,100,11,0.3808166666666667
0,dash,600,100,12,0.3808166666666667
0,dash,600,100,13,0.3808166666666667
0,dash,600,100,14,0.3808166666666667
0,dash,600,100,15,0.3808166666666667
0,dash,600,100,16,0.3808166666666667
0,dash,600,100,17,0.3808166666666667
0,dash,600,100,18,0.3808166666666667
0,dash,600,100,19,0.3808166666666667
0,dash,600,100,20,0.3808166666666667
0,dash,1200,80,0,0.0
0,dash,1200,80,1,0.3023020833333333
0,dash,1200,80,2,0.4778333333333333
0,dash,1200,80,3,0.66159375
0,dash,1200,80,4,0.6994270833333334
0,dash,1200,80,5,0.69271875
0,dash,1200,80,6,0.6999375
0,dash,1200,80,7,0.6992812500000001
0,dash,1200,80,8,0.6992812500000001
0,dash,1200,80,9,0.6992812500000001
0,dash,1200,80,10,0.6992812500000001
0,dash,1200,80,11,0.6992812500000001
0,dash,1200,80,12,0.6992812500000001
0,dash,1200,80,13,0.6992812500000001
0,dash,1200,80,14,0.6992812500000001
0,dash,1200,80,15,0.6992812500000001
0,dash,1200,80,16,0.6992812500000001
0,dash,1200,80,17,0.6992812500000001
0,dash,1200,80,18,0.6992812500000001
0,dash,1200,80,19,0.6992812500000001
0,dash,1200,80,20,0.6992812500000001
0,dash,600,120,0,0.0
0,dash,600,120,1,0.2881249999999999
0,dash,600,120,2,0.3356111111111111
0,dash,600,120,3,0.3356111111111111
0,dash,600,120,4,0.3356111111111111
0,dash,600,120,5,0.3356111111111111
0,dash,600,120,6,0.3356111111111111
0,dash,600,120,7,0.3356111111111111
0,dash,600,120,8,0.3356111111111111
0,dash,600,120,9,0.3356111111111111
0,dash,600,120,10,0.3356111111111111
0,dash,600,120,11,0.3356111111111111
0,dash,600,120,12,0.3356111111111111
0,dash,600,120,13,0.3356111111111111
0,dash,600,120,14,0.3356111111111111
0,dash,600,120,15,0.3356111111111111
0,dash,600,120,16,0.3356111111111111
0,dash,600,120,17,0.3356111111111111
0,dash,600,120,18,0.3356111111111111
0,dash,600,120,19,0.3356111111111111
0,dash,600,120,20,0.3356111111111111
0,dash,600,140,0,0.0
0,dash,600,140,1,0.3127261904761904
0,dash,600,140,2,0.3728571428571429
0,dash,600,140,3,0.3752023809523809
0,dash,600,140,4,0.3752023809523809
0,dash,600,140,5,0.3752023809523809
0,dash,600,140,6,0.3752023809523809
0,dash,600,140,7,0.3752023809523809
0,dash,600,140,8,0.3752023809523809
0,dash,600,140,9,0.3752023809523809
0,dash,600,140,10,0.3752023809523809
0,dash,600,140,11,0.3752023809523809
0,dash,600,140,12,0.3752023809523809
0,dash,600,140,13,0.3752023809523809
0,dash,600,140,14,0.3752023809523809
0,dash,600,140,15,0.3752023809523809
0,dash,600,140,16,0.3752023809523809
0,dash,600,140,17,0.3752023809523809
0,dash,600,140,18,0.3752023809523809
0,dash,600,140,19,0.3752023809523809
0,dash,600,140,20,0.3752023809523809
0,dash,1200,100,0,0.0
0,dash,1200,100,1,0.2705166666666666
0,dash,1200,100,2,0.4295416666666667
0,dash,1200,100,3,0.5048583333333334
0,dash,1200,100,4,0.515525
0,dash,1200,100,5,0.515525
0,dash,1200,100,6,0.515525
0,dash,1200,100,7,0.515525
0,dash,1200,100,8,0.515525
0,dash,1200,100,9,0.515525
0,dash,1200,100,10,0.515525
0,dash,1200,100,11,0.515525
0,dash,1200,100,12,0.515525
0,dash,1200,100,13,0.515525
0,dash,1200,100,14,0.515525
0,dash,1200,100,15,0.515525
0,dash,1200,100,16,0.515525
0,dash,1200,100,17,0.515525
0,dash,1200,100,18,0.515525
0,dash,1200,100,19,0.515525
0,dash,1200,100,20,0.515525
0,dash,600,160,0,0.0
0,dash,600,160,1,0.2809374999999999
0,dash,600,160,2,0.32778125
0,dash,600,160,3,0.32778125
0,dash,600,160,4,0.32778125
0,dash,600,160,5,0.32778125
0,dash,600,160,6,0.32778125
0,dash,600,160,7,0.32778125
0,dash,600,160,8,0.32778125
0,dash,600,160,9,0.32778125
0,dash,600,160,10,0.32778125
0,dash,600,160,11,0.32778125
0,dash,600,160,12,0.32778125
0,dash,600,160,13,0.32778125
0,dash,600,160,14,0.32778125
0,dash,600,160,15,0.32778125
0,dash,600,160,16,0.32778125
0,dash,600,160,17,0.32778125
0,dash,600,160,18,0.32778125
0,dash,600,160,19,0.32778125
0,dash,600,160,20,0.32778125
0,dash,600,180,0,0.0
0,dash,600,180,1,0.3440833333333333
0,dash,600,180,2,0.3931296296296296
0,dash,600,180,3,0.3931296296296296
0,dash,600,180,4,0.3931296296296296
0,dash,600,180,5,0.3931296296296296
0,dash,600,180,6,0.3931296296296296
0,dash,600,180,7,0.3931296296296296
0,dash,600,180,8,0.3931296296296296
0,dash,600,180,9,0.3931296296296296
0,dash,600,180,10,0.3931296296296296
0,dash,600,180,11,0.3931296296296296
0,dash,600,180,12,0.3931296296296296
0,dash,600,180,13,0.3931296296296296
0,dash,600,180,14,0.3931296296296296
0,dash,600,180,15,0.3931296296296296
0,dash,600,180,16,0.3931296296296296
0,dash,600,180,17,0.3931296296296296
0,dash,600,180,18,0.3931296296296296
0,dash,600,180,19,0.3931296296296296
0,dash,600,180,20,0.3931296296296296
0,dash,1200,120,0,0.0
0,dash,1200,120,1,0.2560416666666666
0,dash,1200,120,2,0.4095416666666667
0,dash,1200,120,3,0.4506041666666667
0,dash,1200,120,4,0.4567847222222222
0,dash,1200,120,5,0.4567847222222222
0,dash,1200,120,6,0.4567847222222222
0,dash,1200,120,7,0.4567847222222222
0,dash,1200,120,8,0.4567847222222222
0,dash,1200,120,9,0.4567847222222222
0,dash,1200,120,10,0.4567847222222222
0,dash,1200,120,11,0.4567847222222222
0,dash,1200,120,12,0.4567847222222222
0,dash,1200,120,13,0.4567847222222222
0,dash,1200,120,14,0.4567847222222222
0,dash,1200,120,15,0.4567847222222222
0,dash,1200,120,16,0.4567847222222222
0,dash,1200,120,17,0.4567847222222222
0,dash,1200,120,18,0.4567847222222222
0,dash,1200,120,19,0.4567847222222222
0,dash,1200,120,20,0.4567847222222222
0,dash,600,200,0,0.0
0,dash,600,200,1,0.28315
0,dash,600,200,2,0.2873916666666667
0,dash,600,200,3,0.2873916666666667
0,dash,600,200,4,0.2873916666666667
0,dash,600,200,5,0.2873916666666667
0,dash,600,200,6,0.2873916666666667
0,dash,600,200,7,0.2873916666666667
0,dash,600,200,8,0.2873916666666667
0,dash,600,200,9,0.2873916666666667
0,dash,600,200,10,0.2873916666666667
0,dash,600,200,11,0.2873916666666667
0,dash,600,200,12,0.2873916666666667
0,dash,600,200,13,0.2873916666666667
0,dash,600,200,14,0.2873916666666667
0,dash,600,200,15,0.2873916666666667
0,dash,600,200,16,0.2873916666666667
0,dash,600,200,17,0.2873916666666667
0,dash,600,200,18,0.2873916666666667
0,dash,600,200,19,0.2873916666666667
0,dash,600,200,20,0.2873916666666667
0,dash,1200,140,0,0.0
0,dash,1200,140,1,0.2674880952380952
0,dash,1200,140,2,0.3924583333333333
0,dash,1200,140,3,0.430702380952381
0,dash,1200,140,4,0.430702380952381
0,dash,1200,140,5,0.430702380952381
0,dash,1200,140,6,0.430702380952381
0,dash,1200,140,7,0.430702380952381
0,dash,1200,140,8,0.430702380952381
0,dash,1200,140,9,0.430702380952381
0,dash,1200,140,10,0.430702380952381
0,dash,1200,140,11,0.430702380952381
0,dash,1200,140,12,0.430702380952381
0,dash,1200,140,13,0.430702380952381
0,dash,1200,140,14,0.430702380952381
0,dash,1200,140,15,0.430702380952381
0,dash,1200,140,16,0.430702380952381
0,dash,1200,140,17,0.430702380952381
0,dash,1200,140,18,0.430702380952381
0,dash,1200,140,19,0.430702380952381
0,dash,1200,140,20,0.430702380952381
0,dash,1200,160,0,0.0
0,dash,1200,160,1,0.26353125
0,dash,1200,160,2,0.4005364583333333
0,dash,1200,160,3,0.41309375
0,dash,1200,160,4,0.4159114583333333
0,dash,1200,160,5,0.4159114583333333
0,dash,1200,160,6,0.4159114583333333
0,dash,1200,160,7,0.4159114583333333
0,dash,1200,160,8,0.4159114583333333
0,dash,1200,160,9,0.4159114583333333
0,dash,1200,160,10,0.4159114583333333
0,dash,1200,160,11,0.4159114583333333
0,dash,1200,160,12,0.4159114583333333
