round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
1,max-cover,16,80,0.6984375,2.1563596060155583,0.45234375
1,budget,16,80,0.9265625,2.180922911598552,0.60234375
1,heuristic,16,80,0.9203125,2.178472677985418,0.559375
4,max-cover,12,160,0.6552083333333334,2.5398580180302464,0.1973958333333333
4,budget,12,160,0.9380208333333332,2.7485960156115303,0.2390625
4,heuristic,12,160,0.9802083333333332,2.6175085960523026,0.1984375
2,max-cover,16,80,0.77578125,1.8979538029777792,0.48671875
2,budget,16,80,0.94765625,1.938920785468612,0.625
2,heuristic,16,80,0.96171875,1.9406479792867004,0.64609375
0,max-cover,16,160,0.615625,2.416330025270484,0.259375
0,budget,16,160,0.83046875,2.5727991106245907,0.312890625
0,heuristic,16,160,0.95546875,2.5981559214269154,0.27734375
3,max-cover,16,80,0.659375,1.0863656520896223,0.41015625
3,budget,16,80,0.865625,1.0902193144232049,0.5515625
3,heuristic,16,80,0.8828125,1.0836043898073564,0.53984375
1,max-cover,16,160,0.641796875,3.25879998193928,0.26171875
1,budget,16,160,0.867578125,3.398670074002555,0.323046875
1,heuristic,16,160,0.97890625,3.449847315794044,0.319921875
4,max-cover,16,80,0.740625,1.7224728112173695,0.52890625
4,budget,16,80,0.93203125,1.7580452978539125,0.621875
4,heuristic,16,80,0.9578125,1.7520537202838475,0.6859375
2,max-cover,16,160,0.63828125,2.3863265670857525,0.272265625
2,budget,16,160,0.89609375,2.60294168202358,0.336328125
2,heuristic,16,160,0.99453125,2.6361875566453064,0.356640625
0,max-cover,20,80,0.690625,1.0740503876184286,0.4943749999999999
0,budget,20,80,0.9475,1.091251787332202,0.7268750000000002
0,heuristic,20,80,0.921875,1.08950457840698,0.679375
3,max-cover,16,160,0.730859375,2.4527240886368147,0.309765625
3,budget,16,160,0.8703125,2.588834091975131,0.353515625
3,heuristic,16,160,0.98046875,2.589128108630145,0.339453125
1,max-cover,20,80,0.63,1.143680835160324,0.4906250000000001
1,budget,20,80,0.95875,1.165986683863954,0.7743749999999999
1,heuristic,20,80,0.925,1.1656206386299537,0.733125
4,max-cover,16,160,0.713671875,2.4180853555143305,0.2703125
4,budget,16,160,0.872265625,2.5048549533133864,0.33046875
4,heuristic,16,160,0.946484375,2.561020351748671,0.315234375
2,max-cover,20,80,0.59625,1.423615835213144,0.4787499999999999
2,budget,20,80,0.96125,1.4292516214050213,0.8106249999999999
2,heuristic,20,80,0.885,1.4312032684559677,0.696875
0,max-cover,20,160,0.7265625,2.1568508242920017,0.3521875
0,budget,20,160,0.9346875,2.2648405729030268,0.4465625000000002
0,heuristic,20,160,0.9603125,2.272395005870513,0.3621875
3,max-cover,20,80,0.71,1.5276643290501162,0.53875
3,budget,20,80,0.96375,1.5264689102448965,0.7556250000000001
3,heuristic,20,80,0.933125,1.5257375724043738,0.6925000000000001
1,max-cover,20,160,0.7059375,1.5365943462103009,0.3512499999999999
1,budget,20,160,0.9165625,1.6685230420433084,0.4446875000000001
1,heuristic,20,160,0.9340625,1.6625040437533514,0.3928125
4,max-cover,20,80,0.745625,0.7991440765384983,0.560625
4,budget,20,80,0.925,0.8232141656089078,0.7337500000000001
4,heuristic,20,80,0.96875,0.8344600772706,0.7800000000000001
2,max-cover,20,160,0.7809375000000001,2.494776244691989,0.345625
2,budget,20,160,0.881875,2.5837121987580645,0.4237499999999999
2,heuristic,20,160,0.968125,2.5919441620573447,0.3862500000000001
0,max-cover,24,80,0.703125,1.175865023318014,0.559375
0,budget,24,80,0.9838541666666668,1.1820111095436592,0.8796875
0,heuristic,24,80,0.9057291666666668,1.1762917636747598,0.7442708333333332
3,max-cover,20,160,0.6771875,3.0877080347440886,0.310625
3,budget,20,160,0.933125,3.294536030988307,0.4525
3,heuristic,20,160,0.925625,3.2622224457772,0.374375
1,max-cover,24,80,0.6776041666666667,1.4418273354466848,0.5822916666666665
1,budget,24,80,0.9963541666666668,1.4297989927864787,0.9630208333333334
1,heuristic,24,80,0.9479166666666666,1.4203884994526064,0.8390625
4,max-cover,20,160,0.82375,2.344457434733266,0.3574999999999999
4,budget,20,160,0.9175,2.3677987242742384,0.4015625
4,heuristic,20,160,0.9196875,2.355933374281049,0.3556249999999999
2,max-cover,24,80,0.6125,1.6287265831345288,0.5229166666666667
2,budget,24,80,0.9895833333333334,1.638371205824112,0.9385416666666668
