round,method,task,worker,fairness-pairwise,overall-satisfactory,avg-quality,avg-utility,turn
6,budget,1,20,0.65,0.25,38.8981673833317,0.25,20
6,max-cover,1,20,0.7,0.15,36.80729579927692,0.15,20
6,heuristic,1,20,1.0,1.0,41.6918118930017,0.3,0
1,budget,3,10,0.9333333333333332,0.9,24.96306967618993,0.7,17
1,max-cover,3,10,0.7333333333333334,0.7333333333333334,25.83588241592064,0.6,17
1,heuristic,3,10,1.0,1.0,24.864084105256296,0.8333333333333334,0
7,budget,1,20,0.4,0.15,33.480793817610845,0.15,20
7,max-cover,1,20,0.1999999999999999,0.15,29.7187236759623,0.15,20
7,heuristic,1,20,0.85,0.6,36.42480687550917,0.25,0
2,budget,3,10,0.8666666666666667,0.8666666666666667,30.64931910993538,0.8,14
2,max-cover,3,10,0.5,0.5,26.357619175912504,0.5,14
2,heuristic,3,10,0.9333333333333332,0.9333333333333332,32.00024869936279,0.8333333333333334,0
8,budget,1,20,0.75,0.15,32.52529346965983,0.15,20
8,max-cover,1,20,0.3,0.0999999999999999,29.46835523567357,0.1,20
8,heuristic,1,20,1.0,1.0,35.68214461995169,0.2,0
3,budget,3,10,0.9666666666666668,0.9666666666666668,30.135728087659444,0.8333333333333334,14
3,max-cover,3,10,0.3666666666666667,0.3666666666666667,24.61629236393288,0.3666666666666667,14
3,heuristic,3,10,1.0,1.0,30.14393633366738,0.8666666666666668,0
9,budget,1,20,0.55,0.15,28.36956917854533,0.15,20
9,max-cover,1,20,0.0999999999999999,0.0999999999999999,24.889995073715696,0.1,20
9,heuristic,1,20,0.8,0.75,32.460797082983966,0.25,0
4,budget,3,10,0.9666666666666668,0.9666666666666668,26.130596922128618,0.8,15
4,max-cover,3,10,0.6,0.6,23.314644087974944,0.5,15
4,heuristic,3,10,0.9666666666666668,0.9666666666666668,26.130596922128618,0.8,0
5,budget,3,10,0.9333333333333332,0.9333333333333332,27.513752246607098,0.9333333333333332,12
5,max-cover,3,10,0.6666666666666667,0.6666666666666667,24.830882878975544,0.6666666666666667,12
5,heuristic,3,10,1.0,1.0,25.19657738301625,0.9333333333333332,0
6,budget,3,10,1.0,1.0,28.78840490926422,0.8999999999999998,13
6,max-cover,3,10,0.4,0.4,24.68510729917436,0.4,13
6,heuristic,3,10,1.0,1.0,28.78840490926422,0.8999999999999998,0
0,budget,2,20,0.6,0.375,33.01507290059702,0.25,36
0,max-cover,2,20,0.125,0.125,30.468272211843,0.125,36
0,heuristic,2,20,0.9,0.825,37.11381797824498,0.275,0
7,budget,3,10,0.9666666666666668,0.9666666666666668,25.4334238193097,0.8666666666666668,13
7,max-cover,3,10,0.4666666666666667,0.4333333333333333,24.16525593402297,0.4,13
7,heuristic,3,10,1.0,1.0,25.494903664607147,0.9666666666666668,0
1,budget,2,20,0.575,0.25,32.89123981487491,0.225,36
1,max-cover,2,20,0.3,0.15,28.228444103408734,0.15,36
1,heuristic,2,20,0.925,0.875,36.69528153491238,0.375,0
8,budget,3,10,1.0,0.9333333333333332,29.339806513125925,0.9,13
8,max-cover,3,10,0.4333333333333333,0.4333333333333333,23.38941920451781,0.4333333333333334,13
8,heuristic,3,10,0.9,0.9,28.595040425118626,0.8333333333333334,0
9,budget,3,10,1.0,1.0,24.61734631889638,0.9666666666666668,11
9,max-cover,3,10,0.6333333333333333,0.6333333333333333,24.88875450840725,0.6333333333333333,11
9,heuristic,3,10,1.0,1.0,24.61734631889638,0.9666666666666668,0
0,budget,4,10,0.975,0.975,27.94699272780348,0.875,15
0,max-cover,4,10,0.8,0.775,26.48183894283131,0.775,15
0,heuristic,4,10,1.0,1.0,25.480885260386103,0.9,0
2,budget,2,20,0.5,0.3,29.34361396323653,0.275,36
2,max-cover,2,20,0.3,0.125,25.16032303818414,0.125,36
2,heuristic,2,20,0.825,0.75,33.5526597287918,0.3,0
1,budget,4,10,0.925,0.925,21.210384472550093,0.925,13
1,max-cover,4,10,0.55,0.55,24.49314024641464,0.5,13
1,heuristic,4,10,0.975,0.975,20.312553400067262,0.9,0
2,budget,4,10,0.95,0.95,20.85344566937381,0.95,12
2,max-cover,4,10,0.725,0.725,20.29920919068685,0.675,12
2,heuristic,4,10,0.975,0.975,19.70331604728956,0.95,0
3,budget,2,20,0.375,0.3249999999999999,28.42236969893888,0.325,34
3,max-cover,2,20,0.375,0.3,24.492020634579628,0.3,34
3,heuristic,2,20,0.95,0.775,31.816046418922824,0.425,0
3,budget,4,10,0.975,0.975,24.630042328007058,0.95,12
3,max-cover,4,10,0.625,0.575,21.29162866370579,0.575,12
3,heuristic,4,10,0.975,0.975,24.218928307414124,0.85,0
4,budget,2,20,0.775,0.475,30.109534827596253,0.325,34
4,max-cover,2,20,0.35,0.25,23.12204985021423,0.25,34
4,heuristic,2,20,0.925,0.775,32.08751174224085,0.3,0
4,budget,4,10,0.975,0.95,21.87563097931547,0.925,13
4,max-cover,4,10,0.825,0.75,23.27466648209949,0.75,13
4,heuristic,4,10,0.975,0.975,21.62597807562276,0.925,0
5,budget,4,10,1.0,1.0,20.8726833457309,0.975,11
5,max-cover,4,10,0.675,0.65,24.59137438321643,0.65,11
5,heuristic,4,10,0.925,0.925,20.8726833457309,0.875,0
6,budget,4,10,0.975,0.975,23.07604564289949,0.95,12
6,max-cover,4,10,0.6,0.525,22.47461303563251,0.525,12
6,heuristic,4,10,0.925,0.925,21.35310325413707,0.9,0
5,budget,2,20,0.7,0.55,30.962766693684383,0.25,36
5,max-cover,2,20,0.4,0.175,25.789635472912472,0.175,36
5,heuristic,2,20,0.925,0.925,31.38099674681869,0.35,0
7,budget,4,10,0.9,0.875,23.16190225005576,0.85,16
7,max-cover,4,10,0.675,0.675,22.00470531719317,0.65,16
7,heuristic,4,10,0.975,0.975,24.35509483260041,0.825,0
6,budget,2,20,0.675,0.4499999999999999,32.83179093266494,0.35,33
