method,cost
budget,0.9009169566915711
budget,0.7425949992301316
budget,0.8423307042738954
budget,0.6972417823487758
budget,0.816010161326117
budget,0.9615360922577356
budget,0.8534227142873697
budget,0.9948505801282999
budget,0.7461337344098478
budget,0.9559432241512609
budget,0.8450813810988806
budget,0.9968550764820017
budget,0.9374844743671331
budget,0.770000223518101
budget,0.9998400061851953
budget,0.9739678209805659
budget,0.5132156767110502
budget,0.7600653186550096
budget,0.738651102882859
budget,0.8619589067539055
budget,0.9880712228632124
budget,0.8793596117675564
budget,0.8329782783271531
budget,0.8109654079533188
budget,0.8298752495723869
budget,0.8606264547995459
budget,0.8988912722716518
budget,0.8713924564784666
budget,0.6608553748120194
budget,0.6635739128510649
budget,0.9234723462665047
budget,0.774954753979586
budget,0.8340916684562462
budget,0.9241360564251982
budget,0.9748931279997877
budget,0.941977443398314
budget,0.9836517273984419
budget,0.8726810994341525
budget,0.8427914601090675
budget,0.764125060852965
budget,0.9438573298220824
budget,0.9655404611210445
budget,0.7825414255606976
budget,0.8337326691693896
budget,0.9846080024212437
budget,0.7088132765411437
budget,0.8175781661561144
budget,0.8681864446025174
budget,0.5318700148693947
budget,0.9072699161959873
budget,0.9886645316490899
budget,0.7787976191338939
budget,0.8769820526742343
budget,0.7823141632840025
budget,0.9897535225297895
budget,0.9796780020496454
budget,0.8471728047408041
budget,0.89077326435614
budget,0.675790421508761
budget,0.8396466344305968
budget,0.9546613796020862
budget,0.9731636210132917
budget,0.8902346650424754
budget,0.655063703491439
budget,0.7558760262741325
budget,0.8947322923455739
budget,0.9813750358878117
budget,0.9467555425265708
budget,0.9552875375952964
budget,0.9820066446935254
budget,0.8169977752115625
budget,0
budget,0.6383549652505784
budget,0.5137328002802571
budget,0.8733081666163705
budget,0.9990058452581295
budget,0.9672260251329934
budget,0.955635873548171
budget,0.8145813823226677
budget,0.8792576617047868
budget,0.9942129055241269
budget,0.48173086445766
budget,0.9807118699400165
budget,0.8692227650814395
budget,0.7340105483241501
budget,0.9112246011923228
budget,0.88365067410549
budget,0.41330802452396304
budget,0
budget,0.8463813200982856
budget,0.9091760352917582
budget,0.8839441484615742
budget,0.48593320476969415
budget,0.9963497273678615
budget,0.9231611371545566
budget,0.9109338792729799
budget,0.816679409006646
budget,0.6891032796207749
budget,0.870472689581138
budget,0.7876824819296034
budget,0.7897038795159416
heuristic,0
heuristic,0.5921674520747962
heuristic,0.9366493943684004
heuristic,0
heuristic,0.25960656433065943
heuristic,0
heuristic,0.8615212703471933
heuristic,0
heuristic,0.6443890472323153
heuristic,0.6068410822300078
heuristic,0.39720763504723783
heuristic,0.8604255139676474
heuristic,0.3605196855984726
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0
