round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
0,max-cover,20,600,0.6340833333333333,8.619304396417402,0.0918333333333333
0,budget,20,600,0.91025,8.943425137629301,0.1140833333333333
0,max-cover,20,1200,0.6765416666666666,25.885634815580925,0.0477083333333333
0,budget,20,1200,0.93875,28.02825865928849,0.060875
1,max-cover,20,600,0.56975,17.998365159073693,0.083
1,budget,20,600,0.8825833333333333,18.3617148516086,0.109
1,max-cover,20,1200,0.713375,39.245858893479024,0.048625
1,budget,20,1200,0.866375,41.2562243064324,0.0607916666666666
2,max-cover,20,600,0.5776666666666667,17.475942621400257,0.0848333333333333
2,budget,20,600,0.91925,17.904587995408157,0.1210833333333333
3,max-cover,20,600,0.505,12.792553685401362,0.0858333333333333
3,budget,20,600,0.82225,13.009546651617056,0.1079166666666666
2,max-cover,20,1200,0.6202083333333333,32.53596013390724,0.044375
2,budget,20,1200,0.8535416666666666,33.82845410962471,0.0517916666666666
4,max-cover,20,600,0.4496666666666666,14.196540754238487,0.0738333333333333
4,budget,20,600,0.8320833333333333,14.572528840955616,0.0984166666666667
3,max-cover,20,1200,0.5797916666666667,22.18552392174486,0.0489166666666666
3,budget,20,1200,0.9185416666666668,23.51776735043616,0.0617083333333333
0,max-cover,40,600,0.3662916666666667,8.123338378459177,0.1185833333333333
0,budget,40,600,0.8942916666666667,8.135432106778445,0.2078749999999999
4,max-cover,20,1200,0.6017083333333333,27.372576881070103,0.044625
4,budget,20,1200,0.89575,28.8013805977754,0.0590416666666667
1,max-cover,40,600,0.4195416666666667,4.982200429028556,0.1246666666666666
1,budget,40,600,0.8216666666666667,5.026589496019357,0.1944583333333333
0,max-cover,40,1200,0.5455625,12.519147290071905,0.0864166666666666
0,budget,40,1200,0.8971458333333333,12.765900755295494,0.1138541666666666
2,max-cover,40,600,0.360625,8.498850663097533,0.1279583333333333
2,budget,40,600,0.903,8.530908644928228,0.2179166666666666
1,max-cover,40,1200,0.5364791666666666,15.72170893083246,0.0873125
1,budget,40,1200,0.9085,16.06957908423259,0.1203124999999999
3,max-cover,40,600,0.4448333333333333,8.488725308294553,0.1286666666666667
3,budget,40,600,0.8687916666666666,8.459901115941722,0.2087083333333332
2,max-cover,40,1200,0.5055208333333333,12.137357330084908,0.0839374999999999
2,budget,40,1200,0.8741041666666667,12.73653412558301,0.1178124999999999
4,max-cover,40,600,0.3950833333333333,4.947521128092145,0.1219166666666666
4,budget,40,600,0.828375,4.935687425153441,0.1948333333333332
3,max-cover,40,1200,0.5892083333333333,10.451019005284389,0.0829791666666666
3,budget,40,1200,0.9138125,10.68304833066382,0.1120208333333333
0,max-cover,60,600,0.2320833333333333,6.84651691897175,0.1303611111111111
0,budget,60,600,0.8818611111111111,6.844999281812931,0.3065277777777777
4,max-cover,40,1200,0.4476666666666666,9.404144002756892,0.0822916666666666
4,budget,40,1200,0.8512708333333333,9.74343918803859,0.1171249999999999
1,max-cover,60,600,0.3173055555555555,5.574365097092192,0.1418888888888889
1,budget,60,600,0.9060833333333334,5.564775913039785,0.3040277777777777
2,max-cover,60,600,0.1796666666666666,4.136498749609563,0.1176666666666666
2,budget,60,600,0.8770555555555556,4.1091728819904825,0.3161388888888886
0,max-cover,60,1200,0.4722638888888889,11.998615915051252,0.1117638888888889
0,budget,60,1200,0.8844583333333333,12.173552249609262,0.157361111111111
3,max-cover,60,600,0.2543055555555555,4.249739357872784,0.1260555555555555
3,budget,60,600,0.9288888888888888,4.263321048734796,0.3205277777777777
1,max-cover,60,1200,0.4431805555555556,9.41915250710813,0.1206805555555555
1,budget,60,1200,0.8766805555555556,9.446285615143138,0.1581388888888888
4,max-cover,60,600,0.2732222222222222,4.717044964426939,0.1425
4,budget,60,600,0.8935277777777778,4.71029889514693,0.3146666666666665
2,max-cover,60,1200,0.5262083333333334,9.068072343858976,0.1207083333333332
2,budget,60,1200,0.8531111111111112,9.070611923316363,0.1615833333333332
0,max-cover,80,600,0.1862708333333333,4.528512553644118,0.1296249999999999
0,budget,80,600,0.9540833333333332,4.5862727705492805,0.4815000000000005
3,max-cover,60,1200,0.4762777777777778,7.967263948516157,0.1162777777777778
3,budget,60,1200,0.8917777777777778,7.991981382590612,0.1697916666666665
1,max-cover,80,600,0.2303541666666666,3.523176911118514,0.1587916666666666
1,budget,80,600,0.9215208333333332,3.512635390206873,0.4666458333333337
4,max-cover,60,1200,0.5871666666666666,9.052030450836495,0.1200694444444444
4,budget,60,1200,0.8786527777777777,8.922388149382995,0.1512083333333332
2,max-cover,80,600,0.192625,3.4391232726891863,0.1261041666666666
2,budget,80,600,0.94175,3.4456469025566774,0.4463333333333334
3,max-cover,80,600,0.188875,2.6830595587810384,0.1285416666666666
3,budget,80,600,0.9391666666666668,2.6798598192615866,0.4625833333333336
0,max-cover,80,1200,0.3565729166666667,6.226679218936268,0.1303541666666666
0,budget,80,1200,0.8750833333333333,6.203001582501037,0.2177395833333334
4,max-cover,80,600,0.255,4.763198622414977,0.1499375
4,budget,80,600,0.9591458333333334,4.749487715061247,0.4571250000000001
1,max-cover,80,1200,0.3703229166666666,6.805802244325577,0.1277499999999999
1,budget,80,1200,0.8117916666666667,6.811807834008556,0.1933020833333333
0,max-cover,100,600,0.2170166666666666,2.176610453908452,0.149
0,budget,100,600,0.9668333333333332,2.1752879331882964,0.5699166666666671
2,max-cover,80,1200,0.3780104166666667,7.764397849070761,0.1256041666666666
2,budget,80,1200,0.8269791666666666,7.601991208387989,0.2111458333333335
1,max-cover,100,600,0.1954,3.806172974757189,0.1435166666666666
1,budget,100,600,0.9508,3.800688051203679,0.5628833333333338
3,max-cover,80,1200,0.4402604166666667,6.014990609233568,0.1365
3,budget,80,1200,0.8616979166666667,6.004420866839964,0.2104062500000001
2,max-cover,100,600,0.1572333333333333,1.8064967343159333,0.1244999999999999
2,budget,100,600,0.9606333333333332,1.8050549069130293,0.576483333333334
4,max-cover,80,1200,0.3923020833333334,4.920349518020707,0.1281354166666666
4,budget,80,1200,0.8765104166666666,4.902153497752687,0.2214270833333334
3,max-cover,100,600,0.2018166666666666,2.1767496745567705,0.1410499999999999
3,budget,100,600,0.9601166666666666,2.18524782173106,0.5576166666666671
0,max-cover,100,1200,0.3325833333333333,4.409385200042693,0.1465083333333333
0,budget,100,1200,0.9003083333333334,4.4081400372546256,0.2617583333333334
4,max-cover,100,600,0.1955,5.161180774873426,0.1576166666666666
4,budget,100,600,0.9628833333333332,5.129777662434702,0.5823333333333336
1,max-cover,100,1200,0.3140083333333333,6.580916501792243,0.1464666666666667
1,budget,100,1200,0.8597833333333333,6.46776837676862,0.2706
0,max-cover,120,600,0.1863055555555555,2.6152169064929254,0.1504722222222221
0,budget,120,600,0.9855416666666666,2.590318237872525,0.7046666666666672
2,max-cover,100,1200,0.4012666666666666,5.213279417152511,0.1573416666666666
2,budget,100,1200,0.8924583333333334,5.226818690586637,0.2627500000000001
1,max-cover,120,600,0.1631388888888889,2.299529155051836,0.1243749999999999
1,budget,120,600,0.9897361111111111,2.2937081701881703,0.7256666666666672
3,max-cover,100,1200,0.3288166666666666,7.5357907958162045,0.1417499999999999
3,budget,100,1200,0.9028083333333332,7.542447649929102,0.2762666666666669
2,max-cover,120,600,0.1839722222222222,2.2084385883789364,0.1508055555555555
2,budget,120,600,0.9797638888888888,2.211008631993166,0.6939722222222225
