round,method,task,worker,fairness-pairwise
0,budget,120,600,0.9709305555555556
0,heuristic,120,600,0.8286111111111111
0,max-cover,120,1200,0.7530625
0,budget,120,1200,0.9449236111111112
0,heuristic,120,1200,0.7988888888888889
1,max-cover,120,600,0.8294166666666667
1,budget,120,600,0.9745833333333334
1,heuristic,120,600,0.8305833333333333
1,max-cover,120,1200,0.7629652777777778
1,budget,120,1200,0.9454652777777778
1,heuristic,120,1200,0.8366319444444444
2,max-cover,120,1200,0.8007222222222222
2,budget,120,1200,0.9449097222222222
2,heuristic,120,1200,0.8406666666666667
2,max-cover,120,600,0.8184583333333333
2,budget,120,600,0.9546388888888888
2,heuristic,120,600,0.8415416666666666
3,max-cover,120,1200,0.7872013888888889
3,budget,120,1200,0.9451527777777776
3,heuristic,120,1200,0.804625
3,max-cover,120,600,0.8360138888888888
3,budget,120,600,0.9719861111111112
3,heuristic,120,600,0.8363472222222222
4,max-cover,120,1200,0.772625
4,budget,120,1200,0.9438680555555556
4,heuristic,120,1200,0.8983055555555556
4,max-cover,120,600,0.8447222222222223
4,budget,120,600,0.9689583333333334
4,heuristic,120,600,0.7831111111111111
0,max-cover,10,300,0.7216666666666667
0,budget,10,300,0.9396666666666668
0,heuristic,10,300,0.9923333333333332
1,max-cover,10,300,0.643
1,budget,10,300,0.93
1,heuristic,10,300,0.9956666666666668
0,max-cover,20,300,0.7555000000000001
0,budget,20,300,0.8816666666666667
0,heuristic,20,300,0.9948333333333332
2,max-cover,10,300,0.6096666666666667
2,budget,10,300,0.9073333333333332
2,heuristic,10,300,0.9863333333333332
3,max-cover,10,300,0.5636666666666666
3,budget,10,300,0.846
3,heuristic,10,300,0.9953333333333332
4,max-cover,10,300,0.6773333333333333
4,budget,10,300,0.8493333333333333
4,heuristic,10,300,0.995
1,max-cover,20,300,0.6719999999999999
1,budget,20,300,0.8998333333333334
1,heuristic,20,300,0.9336666666666666
2,max-cover,20,300,0.6426666666666667
2,budget,20,300,0.8963333333333333
2,heuristic,20,300,0.9768333333333332
3,max-cover,20,300,0.7145
3,budget,20,300,0.8991666666666667
3,heuristic,20,300,0.8306666666666667
4,max-cover,20,300,0.7046666666666667
4,budget,20,300,0.8643333333333334
4,heuristic,20,300,0.9818333333333332
0,max-cover,40,300,0.7563333333333333
0,budget,40,300,0.9574166666666668
0,heuristic,40,300,0.92175
0,max-cover,80,300,0.827875
0,budget,80,300,0.9912916666666668
0,heuristic,80,300,0.8714999999999999
1,max-cover,40,300,0.7565
1,budget,40,300,0.9095
1,heuristic,40,300,0.87775
2,max-cover,40,300,0.7769166666666667
2,budget,40,300,0.9266666666666666
2,heuristic,40,300,0.8065
1,max-cover,80,300,0.8507083333333334
1,budget,80,300,0.9890416666666668
1,heuristic,80,300,0.8545416666666666
3,max-cover,40,300,0.8011666666666667
3,budget,40,300,0.92325
3,heuristic,40,300,0.8934166666666666
4,max-cover,40,300,0.7666666666666666
4,budget,40,300,0.9201666666666668
4,heuristic,40,300,0.8849166666666667
2,max-cover,80,300,0.8537083333333333
2,budget,80,300,0.9882916666666668
2,heuristic,80,300,0.931
3,max-cover,80,300,0.84675
3,budget,80,300,0.993125
3,heuristic,80,300,0.9125
4,max-cover,80,300,0.8359583333333334
4,budget,80,300,0.9832916666666668
4,heuristic,80,300,0.9397916666666668
0,max-cover,160,300,0.9903541666666666
0,budget,160,300,0.9997708333333334
0,heuristic,160,300,0.999875
1,max-cover,160,300,0.9875
1,budget,160,300,0.9998541666666668
1,heuristic,160,300,0.9998958333333332
2,max-cover,160,300,0.9839583333333334
2,budget,160,300,0.9998125
2,heuristic,160,300,0.9999166666666668
3,max-cover,160,300,0.9910625
3,budget,160,300,0.99975
3,heuristic,160,300,0.9998958333333332
4,max-cover,160,300,0.9818541666666667
4,budget,160,300,0.9998333333333334
4,heuristic,160,300,0.9997916666666666
