method,cost
max-cover,0.34354569706154453
max-cover,0.6604587525085776
max-cover,0.4183826625992311
max-cover,0
max-cover,0.28598784998569876
max-cover,0.6293207317564828
max-cover,0.13526106743204858
max-cover,0
max-cover,0.13348732998903193
max-cover,0.41119230086972436
max-cover,0
max-cover,0
max-cover,0
max-cover,0.4417801119379845
max-cover,0
max-cover,0
max-cover,0.20319110419163944
max-cover,0.132110088342541
max-cover,0.442488150509896
max-cover,0
max-cover,0
max-cover,0.4046612396258654
max-cover,0
max-cover,0.38571021054597143
max-cover,0
max-cover,0.6110014489516324
max-cover,0.2262794893539884
max-cover,0
max-cover,0
max-cover,0.2019520879962594
max-cover,0.17468011286811116
max-cover,0
max-cover,0.1751909154792598
max-cover,0
max-cover,0.21283332324238252
max-cover,0
max-cover,0.1461007276405055
max-cover,0
max-cover,0
max-cover,0.2938512759753409
max-cover,0
max-cover,0.2637026158953347
max-cover,0.606227896412074
max-cover,0
max-cover,0.5634806926463913
max-cover,0
max-cover,0
max-cover,0.3106282860058881
max-cover,0.46121086305079495
max-cover,0.4281490728723525
max-cover,0.33351033486642034
max-cover,0.25423791898954795
max-cover,0.472432820997742
max-cover,0.14274764561902709
max-cover,0
max-cover,0.6052470264367131
max-cover,0
max-cover,0.4790009231574177
max-cover,0.16650774185956763
max-cover,0.35056981478191507
max-cover,0.2555413775219913
max-cover,0.367582183854275
max-cover,0
max-cover,0
max-cover,0.15192863382630206
max-cover,0.4855196016897693
max-cover,0.6141774587981884
max-cover,0
max-cover,0
max-cover,0
max-cover,0.1574643563721642
max-cover,0.5751183176390494
max-cover,0
max-cover,0.3382044667510705
max-cover,0.4367103132788752
max-cover,0.4934438619488528
max-cover,0.3426432352848239
max-cover,0.3968101489406901
max-cover,0
max-cover,0.25533293838054033
max-cover,0.3516138505540095
max-cover,0
max-cover,0
max-cover,0.2913613772835669
max-cover,0
max-cover,0
max-cover,0.1379053997008426
max-cover,0
max-cover,0.4242293826829523
max-cover,0.7278678106713976
max-cover,0.5713487397444694
max-cover,0.3397920770645116
max-cover,0.4685123050132053
max-cover,0.36822126125097066
max-cover,0.6141234206377943
max-cover,0.7363493549154678
max-cover,0.11783373854801718
max-cover,0
max-cover,0.21634633808942852
max-cover,0
budget,0.8529723597712544
budget,0.8258038836675533
budget,0.953202021507491
budget,0.9897720317346691
budget,0.9974600009637948
budget,0.7322730208908921
budget,0.9259641202770992
budget,0.9185895214847907
budget,0.7824843732100278
budget,0.9609936605744885
budget,0.9397226964013743
budget,0.903164530393105
budget,0.9138984577019353
budget,0.7568662856919113
budget,0.9126399051439349
budget,0.9075590324116583
budget,0.9969541704187459
budget,0.9721775973623629
budget,0.9234043541683669
budget,0.9480319989048968
budget,0.9553455434426154
budget,0.9478184178433001
budget,0.9614391625407994
budget,0.7945901976317412
budget,0.929442161938324
budget,0.9810834096276617
budget,0.9842453245027372
budget,0.9863036517751
budget,0.956405492651419
budget,0.9906362952983137
budget,0.9601510003287494
budget,0.9845369048486023
budget,0.9525681649349356
budget,0.9731779637308959
budget,0.8346570144521486
budget,0.9923017084305304
budget,0.6613978735272112
budget,0.995514472273489
budget,0.9409174761171666
budget,0.956534365278203
budget,0.9433152486501188
budget,0.9617037246538563
budget,0.9351845531977636
budget,0.9368718488703138
budget,0.9567381834377927
budget,0.9884653896990411
budget,0.9528255770343161
budget,0.9162973372082074
budget,0.934308966008025
budget,0.7420848429547797
budget,0.9645888743253276
budget,0.9578609632074971
budget,0.9578579977456324
budget,0.9945085195826745
budget,0.9701471815927951
budget,0.9075037261708557
budget,0.8156721333845727
budget,0.9034740686314443
budget,0.7731994221483279
budget,0.7962168776638943
budget,0.989432326017563
budget,0.9169104789803273
budget,0.9732385382959083
budget,0.9433401090250462
budget,0.9010459739957112
budget,0.7767393656724499
budget,0.6141774587981884
budget,0.9978433198741339
budget,0.9617644178913425
budget,0.9427102070277631
budget,0.9148607501910844
budget,0.947547327744288
budget,0.9762697329968867
budget,0.6276176974381467
budget,0.9527211214278927
budget,0.9072308758786384
budget,0.7990030339928581
budget,0.8575047188584648
budget,0.9994535255607767
budget,0.8487487893831295
budget,0.9727030648717376
budget,0.9320519399263151
budget,0.9537249258252722
budget,0.7807044095733053
budget,0.9840733351393458
budget,0.9400914482179464
budget,0.9909330357086865
budget,0.9777767949610023
budget,0.9077008705338696
budget,0.9766292519943807
budget,0.9954268541993087
budget,0.9309311022748967
budget,0.9361442291017594
budget,0.9722752598789635
budget,0.7386019640261945
budget,0.6937449835277324
budget,0.9797001828949196
budget,0.9874781112399794
budget,0.7735292842613168
budget,0.9979679937792837
heuristic,0.98686166073073
heuristic,0.8258038836675533
heuristic,0.21662306127880304
heuristic,0
heuristic,0.28598784998569876
heuristic,0.6293207317564828
heuristic,0.5774568849465398
heuristic,0
heuristic,0.8529660436908879
heuristic,0.9870568776035602
heuristic,0
heuristic,0.14991767105509113
heuristic,0
heuristic,0.7568662856919113
heuristic,0
heuristic,0.6054379065561508
heuristic,0.32081674026355056
heuristic,0.132110088342541
heuristic,0.543930037272676
heuristic,0
heuristic,0
heuristic,0.5070762403082665
heuristic,0
heuristic,0.38571021054597143
heuristic,0
heuristic,0.39667573582358917
heuristic,0.8832472601880632
heuristic,0.10388171218458281
heuristic,0
heuristic,0.22282232599451574
heuristic,0.9553953493500897
heuristic,0
heuristic,0.1751909154792598
heuristic,0
heuristic,0.7724162705947352
heuristic,0
heuristic,0.1461007276405055
heuristic,0
heuristic,0
heuristic,0.9464663588020346
heuristic,0
heuristic,0
heuristic,0.606227896412074
heuristic,0.436358641024282
heuristic,0
heuristic,0
heuristic,0
heuristic,0.8050694694161649
heuristic,0.1052424594802774
heuristic,0.9908604904460803
heuristic,0.33351033486642034
heuristic,0.5854651882245736
heuristic,0.9583492050366731
heuristic,0.14274764561902709
heuristic,0
heuristic,0.9765747318086986
heuristic,0.999834367935629
heuristic,0.924309451606621
heuristic,0.16650774185956763
heuristic,0.9355327762186607
heuristic,0
heuristic,0.367582183854275
heuristic,0
heuristic,0
heuristic,0.15192863382630206
heuristic,0.9013260393471759
heuristic,0.6141774587981884
heuristic,0
heuristic,0
heuristic,0
heuristic,0.1574643563721642
heuristic,0
heuristic,0
heuristic,0.3382044667510705
heuristic,0.4367103132788752
heuristic,0.4934438619488528
heuristic,0.4781001207387877
heuristic,0.8575047188584648
heuristic,0
heuristic,0.4176442050435751
heuristic,0.3516138505540095
heuristic,0
heuristic,0
heuristic,0.4552570691076727
heuristic,0
heuristic,0
heuristic,0
heuristic,0
heuristic,0.4242293826829523
heuristic,0.9843219570327141
heuristic,0.5713487397444694
heuristic,0.23744864509364116
heuristic,0.4685123050132053
heuristic,0.9340140337266714
heuristic,0.6141234206377943
heuristic,0.5753263725900022
heuristic,0.11783373854801718
heuristic,0
heuristic,0.41758102354159626
heuristic,0
